[002:OBNA#0016]	墓園@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[018:LSCR#0201]	我想裡面沒有什麼值得注意的人。
[018:LSCR#0201]	我想還是讓他安息吧。
[018:LSCR#0201]	我想裡面沒有什麼值得注意的人。
[018:LSCR#0201]	沒有正當理由我才不會打開這種東西！
[018:LSCR#0202]	嗯。
[018:SCRP#0090]	-雷普·史卡林
[018:SCRP#0090]	-鈕扣頭指揮官
[018:SCRP#0090]	-巴尼·高特
[018:SCRP#0090]	-費斯特·里奇
[018:SCRP#0090]	-臭鼬眼老頭
[018:SCRP#0091]	"幸福就是一隻溫暖的海牛。"
[018:SCRP#0091]	"親我吧，我得了壞血病。"
[018:SCRP#0091]	"啊啊啊啊啊啊！"
[018:SCRP#0091]	"紫羅蘭是藍的，玫瑰是紅的^\255\003我們要登船了，準備吃子彈吧。"
[018:SCRP#0091]	"漱口水？我們才不需要什麼臭漱口水！"
[019:VERB#0197]	這是大驚奇地圖的一部分！
[019:VERB#0197]	只是地圖的四分之一──沒什麼用。
[019:OBNA#0197]	地圖碎片@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:VERB#0191]	噢，看起來像是人的骨灰。
[019:VERB#0191]	我想我不需要更多了。
[019:VERB#0191]	我想這座墳墓該拿的我都拿了。
[019:VERB#0191]	我幹嘛要在意這傢伙的骨灰？
[019:VERB#0191]	好吧，可以。
[019:OBNA#0191]	棺材@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:OBNA#0192]	棺材@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:OBNA#0193]	棺材@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:VERB#0195]	裡面有東西。
[019:OBNA#0195]	棺材@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:OBNA#0196]	棺材@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:VERB#0200]	這是大驚奇地圖的一部分！
[019:VERB#0200]	這不是我的東西，不能用。
[019:OBNA#0200]	地圖碎片@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:VERB#0198]	"熱騰騰的香腸！"
[019:VERB#0198]	我想這在那邊沒有用。
[019:OBNA#0198]	鑰匙@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:EXCD#0019]	蓋布拉許
[019:LSCR#0200]	灰燼@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0200]	灰燼@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0200]	灰燼@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0202]	我還是別這麼做好了。
[019:LSCR#0203]	你幹嘛煩我?\255\003這可是簡單模式耶!
[019:LSCR#0203]	呼!\255\003好險,差點就完蛋了!
[019:LSCR#0203]	要不是我穿著防火圍裙,早就死翹翹了!
[019:LSCR#0203]	怎樣?
[019:LSCR#0203]	\007你早就死了啊,雷普。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007呃^你那件圍裙到底是在哪買的,雷普?@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007對啊,真的好險。話說,關於大驚奇的那件事^@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007嗯,好啦,下次小心點。掰啦。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	史丹二手餐廳用品行^\255\003你問這幹嘛?
[019:LSCR#0203]	聽好,雷普^
[019:LSCR#0203]	大驚奇?\255\003哈哈哈!\255\003這個秘密我會帶進墳墓裡!
[019:LSCR#0203]	\007哦,你身上帶著?太好了!@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007我有個壞消息要告訴你,雷普^@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007那我看我是沒指望了。好吧,再見。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	你在說什麼啊?
[019:LSCR#0203]	是這樣的,雷普^
[019:LSCR#0203]	^你死了。
[019:LSCR#0203]	什麼?!?
[019:LSCR#0203]	\007你死得比塵土還徹底。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007你這輩子已經全熟了。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007你已經抖完最後一塊船板了。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007你現在是天堂門口的備菜廚師了。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007你已經過期兩個星期了。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	我^\255\003^死了?
[019:LSCR#0203]	\007跟隔夜豬排一樣冰冷。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007跟冷凍熱狗一樣僵硬。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007跟放了一年的醃菜一樣發綠。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007跟不新鮮的麵包一樣乾硬。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007像罐頭火腿一樣密封,還裹著一層黏液。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	可是,我還沒準備好要死啊!
[019:LSCR#0203]	我覺得我的靈魂無法得到和平。\255\003在我離開之前,還有件事非做不可。
[019:LSCR#0203]	\007你是說,把《戰爭與和平》看完嗎?@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007完成那個「一煮就飽滿」的熱狗技術?@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007為「熱騰騰香腸」的財產生個繼承人?@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007把你手上那份大驚奇地圖傳下去?@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	不是。\255\003我只是一直有種揮之不去的感覺,好像我餐廳的瓦斯忘了關。\255\003快把我搞瘋了。
[019:LSCR#0203]	\007我有沒有提過,我正在找大驚奇?@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007我幫你去看看瓦斯,雷普。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007我有沒有提過,你已經死了?@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007抱歉,不是故意要打擾你。安息吧。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007把地圖給我,我就去看瓦斯。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007你說得對,瓦斯真的沒關。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007抱歉打擾你了。安息吧。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	你把它關了嗎?
[019:LSCR#0203]	呃^\255\003^沒有。應該要關嗎?
[019:LSCR#0203]	唉,我這受盡折磨的靈魂到底何時才能解脫?
[019:LSCR#0203]	我把它關掉了。
[019:LSCR#0203]	謝了。
[019:LSCR#0203]	我那份大驚奇地圖可以給你--\255\003--不過你得先幫我一個忙。
[019:LSCR#0203]	你能幫我去看看我熱狗小屋的瓦斯嗎?
[019:LSCR#0203]	\007你管那個幹嘛?你已經死了耶!@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007好啊,我去看看。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007你說得對,瓦斯真的沒關。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007把地圖給我,我就幫你去看瓦斯。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	\007抱歉,我還有更重要的事要做。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[019:LSCR#0203]	拜~~~託啦?
[019:LSCR#0203]	去看瓦斯,我就把鞭子丟給你。\255\003我是說,把地圖給你。
[019:LSCR#0203]	去看瓦斯,我就把地圖給你。
[019:LSCR#0203]	是喔?\255\003那個^我也是。
[019:LSCR#0203]	謝了,這是鑰匙。
[019:LSCR#0203]	反正我要去的地方,大概也用不著這張地圖了。
[019:LSCR#0203]	謝了。
[019:LSCR#0203]	現在我終於能長眠於大地的懷抱^\255\003^就像熱騰騰的香腸窩進鬆軟的新鮮麵包裡。
[019:LSCR#0203]	啊~^
[019:SCRP#0098]	淤泥味。
[019:SCRP#0099]	或許我該讓他就此安息了。
[020:OBNA#0204]	岸邊@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[020:OBNA#0202]	小徑@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[020:VERB#0201]	看起來毛骨悚然,但似乎還能出海。
[020:VERB#0201]	我最好先爬進去再說。
[020:VERB#0201]	我可不想把它從水裡拉出來。\255\003上面搞不好爬滿了水母和沼澤寄生蟲。
[020:OBNA#0201]	棺材@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[020:VERB#0206]	「魔咒國際旅店」
[020:OBNA#0206]	招牌@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[020:VERB#0211]	看起來很混濁。
[020:VERB#0211]	我可不想徒手碰它。
[020:OBNA#0211]	沼澤@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[020:VERB#0212]	看起來很混濁。
[020:VERB#0212]	我可不想徒手碰它。
[020:OBNA#0212]	沼澤@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[020:VERB#0213]	看起來很混濁。
[020:VERB#0213]	我可不想徒手碰它。
[020:OBNA#0213]	沼澤@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[020:VERB#0210]	收件人:幽靈海盜 里察克\255\003轉交:里察克島渡假暨水療中心\015\255\003內容物:雜項巫毒用品。
[020:OBNA#0210]	木箱@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[020:OBNA#0203]	小屋@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[020:EXCD#0020]	蓋布拉許
[020:EXCD#0020]	走到@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[020:LSCR#0204]	蓋布拉許
[020:LSCR#0211]	我覺得裡面好像有東西在動。
[020:LSCR#0211]	嘿,里奇,這個我需要人幫忙。
[020:LSCR#0211]	看起來又是一箱活蛇。
[020:LSCR#0211]	聽起來也像是。
[020:LSCR#0211]	好啦,把它搬上卡車吧。
[020:LSCR#0211]	蓋布拉許
[020:LSCR#0212]	我不想要更多爛泥了。
[020:LSCR#0212]	一桶爛泥@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[020:LSCR#0212]	哇,整整一桶爛泥^\255\003^全部都是我的,通通是我的!
[020:LSCR#0213]	划向@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[020:SCRP#0050]	接下來五天五夜,蓋布拉許就窩在那只裝著巫毒用品的小木箱裡,只能靠吃蝙蝠肺和鰻魚膀胱苦撐活命。
[020:SCRP#0050]	最終,蓋布拉許和其餘那些蠕動的貨物,被送到了加勒比海最令人聞風喪膽的惡棍家門口——不管生死都一樣可怕的幽靈海盜里察克!
[020:SCRP#0050]	拉戈@@@
[020:SCRP#0050]	啊^\255\003里察克的巫毒用品箱到了。
[020:SCRP#0050]	你知道嗎,我們通常不會送到這麼遠的地方^
[020:SCRP#0050]	你們是想討小費嗎?
[020:SCRP#0050]	呃,我們是想說既然^
[020:SCRP#0050]	那你們就想錯了。\255\003里察克才不會給任何人小費!
[020:SCRP#0050]	天哪^
[020:SCRP#0050]	^真是個混蛋。
[020:SCRP#0050]	蓋布拉許
[020:SCRP#0050]	噁。\255\003我最討厭蛇了。
[021:VERB#0216]	看起來像是溜溜球的線。
[021:VERB#0216]	我拿一點點就好。
[021:OBNA#0216]	線@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0215]	沒有標籤。
[021:VERB#0215]	我覺得我沒資格處理這些東西。\255\003而且，這些東西很噁心。
[021:OBNA#0215]	瓶子@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0214]	毛骨悚然，不過看樣子挺耐海浪的。
[021:OBNA#0214]	棺材@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0217]	「除疣靈」
[021:OBNA#0217]	罐子@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0218]	「貓咪驅蟲劑」
[021:OBNA#0218]	罐子@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0219]	「灰復生\015\255\003返魂膏。」
[021:OBNA#0219]	罐子@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0220]	「蜥蜴腳趾」
[021:OBNA#0220]	罐子@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0221]	「魔幽香水\015\255\003把巫毒的神祕香氣封存在迷人的百花香裡。」
[021:OBNA#0221]	罐子@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0222]	「蝙蝠蠟」
[021:OBNA#0222]	罐子@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0223]	「水果雞尾酒——重糖漿口味」
[021:OBNA#0223]	罐子@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0224]	「蜘蛛肺」
[021:OBNA#0224]	罐子@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0225]	「黃金舌\015\255\003五天療程，助你輕鬆跟女生搭話。」
[021:OBNA#0225]	罐子@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0226]	「溫柔觸感海盜爽身粉\015\255\003預防斷肢摩擦與眼罩疹。」
[021:OBNA#0226]	罐子@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0227]	看起來像是精裝合訂本的《巫毒季刊》。
[021:VERB#0227]	切，這些東西對我來說太專業了。
[021:OBNA#0227]	書@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0228]	「展示樣品」
[021:VERB#0228]	看起來被螺栓固定在桌上了。
[021:OBNA#0228]	骷髏頭@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0229]	我不想讓它變質。
[021:VERB#0229]	我覺得那不是拿來這樣用的。
[021:VERB#0229]	「灰復生\015\255\003返魂膏——現在推出方便攜帶的粉末版！」
[021:OBNA#0229]	灰復生\015@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0230]	「國際巫毒總匯的精選食譜。\255\003第139頁
[021:VERB#0230]	海倫阿姨特製巫毒娃娃配方：」
[021:VERB#0230]	「一絲線頭^\255\003^一撮髮梢^
[021:VERB#0230]	^一滴體液^\255\003^還有死者的遺物。」
[021:OBNA#0230]	巫毒採購清單@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0231]	「國際巫毒總匯。」
[021:VERB#0231]	裡面裝了些東西^
[021:VERB#0231]	^一個娃娃^
[021:VERB#0231]	^一撮鬍子^
[021:VERB#0231]	^一件內褲^
[021:VERB#0231]	^一根骨頭^
[021:VERB#0231]	^一條用過的手帕^
[021:VERB#0231]	^大概就這樣了。
[021:VERB#0231]	是打開的。
[021:VERB#0231]	我覺得那樣做不會有什麼用。
[021:VERB#0231]	我覺得放進去也沒什麼用。
[021:OBNA#0231]	護身符袋@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0233]	「說明：\255\0031) 點燃引信\255\0032) 丟向目標
[021:VERB#0233]	3) 準備好迎接愛情吧」
[021:VERB#0233]	不行。\255\003我要留著送給依蓮。
[021:OBNA#0233]	愛情炸彈@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0232]	「劃火柴前請先合上封蓋。」
[021:VERB#0232]	沒有火柴了。
[021:VERB#0232]	我又不是縱火狂。
[021:VERB#0232]	已經點著了。
[021:VERB#0232]	那是最後一根火柴了。
[021:VERB#0232]	已點燃的炸藥@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:VERB#0232]	我還是不要好了。
[021:OBNA#0232]	火柴@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:LSCR#0201]	蓋布拉許
[021:LSCR#0205]	蓋布拉許·斯瑞普伍德。\255\003你好久沒來看我了。
[021:LSCR#0205]	又來了啊，斯瑞普伍德先生？
[021:LSCR#0205]	\007華利叫我來拿一瓶愛情藥水。\255\009\026\000@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:LSCR#0205]	\007我這裡有一本巫毒食譜要給你。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:LSCR#0205]	\007我真的很需要那罐回春霜。\255\009\023\000@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:LSCR#0205]	\007嘿，我帶了一些灰燼要給那個藥水用。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:LSCR#0205]	\007關於我剛才在看的那個罐子^\255\009\026\000@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:LSCR#0205]	\007我是不是在哪見過你？\255\009\025\000@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:LSCR#0205]	\007做那個娃娃需要什麼材料？@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:LSCR#0205]	\007關於那個巫毒娃娃^@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:LSCR#0205]	\007你何不直接對拉戈下咒就好？\255\009\006\000@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:LSCR#0205]	\007跟我說說拉戈這傢伙的事。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:LSCR#0205]	\007生意還好嗎？@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:LSCR#0205]	\007我想算個命。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:LSCR#0205]	\007只是想打個招呼。好啦，再見。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:LSCR#0205]	\007好了，巫毒的事我受夠了。再見。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[021:LSCR#0205]	等你把那個巫毒娃娃用在拉戈身上，情況就會好轉多了！
[021:LSCR#0205]	對啊，效果不錯吧？\255\003薑還是老的辣。
[021:LSCR#0205]	抱歉，客製化巫毒商品概不退換。\255\003如果沒效，我建議你離目標近一點。
[021:LSCR#0205]	喔，好吧。
[021:LSCR#0205]	跟他說我要他好好享受，但也要小心點。
[021:LSCR#0205]	這東西威力強大。\255\003可不希望那小傢伙受傷——
[021:LSCR#0205]	等等！\255\003我剛感覺到原力起了一陣騷動^
[021:LSCR#0205]	彷彿有個極其微小的聲音驚恐地呼喊了一聲^\255\003^接著匆忙在一張桌子上刻下了一則訊息。
[021:LSCR#0205]	我想華利遇上麻煩了，而且我想這跟里察克脫不了關係！
[021:LSCR#0205]	糟了。\255\003我最好去查看一下。
[021:LSCR#0205]	唉，我們總是最容易忘記那些幫我們最多的人。
[021:LSCR#0205]	是嗎？
[021:LSCR#0205]	當初是我告訴你怎麼除掉里察克的。\255\003我告訴你去哪裡找巫毒解根^\255\003^還有怎麼把它做成你需要的強力驅鬼藥水。
[021:LSCR#0205]	喔對，我現在想起來了。
[021:LSCR#0205]	很好。這禮拜下了不少咒。\255\003救了很多人免於惡眼詛咒。\255\003賺了不少八里亞爾，雖然大部分都被拉戈拿走了。
[021:LSCR#0205]	他是個欺負全島的懦弱小人。\255\003大部分人怕他是因為他曾是里察克的左右手。
[021:LSCR#0205]	不過里察克已經是過去式了。我親手解決了他。
[021:LSCR#0205]	真正的邪惡永遠無法徹底消滅。\255\003你會明白的。
[021:LSCR#0205]	我看見你前方有一條艱難的路，蓋布拉許。\255\003你打敗里察克之後，日子並沒有變輕鬆，對吧？
[021:LSCR#0205]	人們只會要求更多。\255\003你得一次又一次證明自己。
[021:LSCR#0205]	壓力不斷累積，直到你失去了一切——
[021:LSCR#0205]	你的名聲^ 你的財富^\255\003^還有你所愛的人。
[021:LSCR#0205]	好了，夠了。
